POIID,Description,Latitude,Longitude,Width,Length,Flat,PicnicTable,FireRing,Grill,PitToilet,FlushToilet,PotableWater,NonPotableWater,RegistrationRequired,DateLastUpdated
31,"BLM free camping SR9 near Zion NP, very busy though, right on river.  I would be surprised if this were still open/free due to overuse.  4wd recommended, very sandy and narrow road.

Update: I stayed overnight at this free BLM campsite July 28, 2009 and loved it. Look for mile marker 24 on Utah SR9 about 8 miles from Springdale, UT (entrance to Zion National Park). It does get busier on some weekends but it was great. I swam in the Virgin River and drove my Prius (very slowly) through the sand to a spot 20 feet from the river to pitch my tent. There were some rocks that I had to dodge at the entrance to the campground, and I was very careful to drive in not to soft of sand. My only complaint was the millions of ants in the sand.",37.18898,-113.14246,0,0,1,0,0,0,0,0,0,0,0,2009-09-10 23:46:53.0
32,"Kaibab National Forest, near North Rim Grand Canyon.  Area is fairly heavily used, but easy to find a spot nearby.",36.40914,-112.15343,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 19:18:57.0
33,"Mojave National Preserve, near NOTHING, hour and a half from Las Vegas, nearly ran out of gas!  No privacy, but plenty of dry camping in the area.  Enough room for RVs I would guess in the area.",35.36185,-115.43013,0,0,1,0,0,0,0,0,0,0,0,2003-06-04 18:30:44.0
34,"Joshua Tree National Park, NPS has a number of free campgrounds in J-Tree.

Joshua Tree NP no longer free.",33.89983,-115.86176,0,0,1,1,1,1,1,0,0,0,0,2006-04-10 20:36:15.0
35,"Sierra National Forest, near Yosemite, Mariposa grove, South Entrance, not a great site, not sure if it was legal.  We arrived late at night.  No room for RV if I recall.",37.41443,-119.63531,0,0,1,0,0,0,0,0,0,0,0,2003-06-04 18:28:01.0
36,"Stanislaus National Forest, near Yosemite, Big Oak Flat entrance, approx location",37.82424,-119.96349,0,0,1,0,0,0,0,0,0,0,0,2003-05-27 19:21:43.0
37,"Shasta National Forest, near Mt. Shasta trailhead, lots of cars, climbers ready to climb mt. shasta.  Not sure if legal, but there seemed to be room for RV if I recall.",41.36083,-122.20337,0,0,1,0,0,0,0,0,0,0,0,2003-06-04 18:28:28.0
43,"Middle Waddell Campground in Capitol State Forest.  Not always open.  Click <a href=""http://www.dnr.wa.gov/htdocs/lm/recreation/recreation.html"">here</a> or <a href=""http://www.parks.wa.gov/ada-rec/"">here</a> for status.",46.93918,-123.07712,0,0,1,1,1,1,1,0,0,0,1,2006-07-30 21:08:24.0
45,"Vancouver Island on the way to Hwy 14 Victoria BC on the way to the Shipwreck Trail in Pacific Rim National Park.  I suspect this is private land and probably NOT legal.  No room for RV. Be careful!!!",48.41862,-124.02397,0,0,1,0,0,0,0,0,0,0,0,2003-06-04 18:29:06.0
46,"Wenatchee National Forest - approx location for camping near Cle Elum and Ellensburg, WA.  Don't think there was room for RV here.",47.11306,-120.94386,0,0,1,0,0,0,0,0,0,0,0,2003-06-04 18:32:13.0
47,"Payette National Forest camp spot, near McCall Idaho on the way to Frank Church River of No Return Wilderness Area.",44.93359,-115.94209,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:31:45.0
48,"Payette National Forest, middle of no where, right near Frank Church River of No Return Wilderness Area",44.96375,-115.13387,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:32:16.0
49,"Challis National Forest, if memory serves, this is a grassland more than a forest, very steep road to get to it, but nicely gravelled.  Recommend 4wd.  I think it is near a radio tower.  Other than that, it was fairly desolate and beautiful.  Not far from Arco ID (Idaho) and Craters of the Moon National Monument.",43.73388,-113.0855,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:33:38.0
50,"Teton National Forest, just outside Jackson WY (Wyoming) and National Elk Refuge",43.50999,-110.63849,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:34:27.0
51,"Gallatin National Forest, just outside North entrance to Yellowstone National Park (NPS) in Montana (MT), near Gardiner.  Not very private, and not sure if legal.",45.04158,-110.71245,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:35:49.0
52,"Black Hills National Forest in Wyoming.  Not too far from Sundance Wyoming (WY) and Devils Tower National Monument (NPS).",44.45126,-104.43022,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:36:42.0
53,"Black Hills National Forest, not too far from Custer South Dakota in the heart of the Black Hills.  Watch out for free roaming cows!",43.7929,-103.67992,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:37:17.0
54,"Black Hills National Forest South Dakota, not far from Hot Springs (more like ""tepid waters"") South Dakota.  I don't remember this site, but I did mark it as roadside.",43.37724,-103.53584,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:38:10.0
55,"Buffalo Gap National Grassland, South Dakota, near Badlands National Park.",43.71266,-102.52087,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:38:40.0
56,"Buffalo Gap National Grassland, South Dakota, smack against the border with Badlands National Park.  Pretty cool site if I recall.",43.81377,-102.18896,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:39:04.0
57,"Lacreek National Wildlife Refuge South Dakota, Martin South Dakota is probably the closest town.  In the middle of farmland if I recall.  Not great.",43.07079,-101.62028,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:39:32.0
58,"St. Croix National Scenic Riverway, not sure if legal, near Rush City and Harris MN (Minnesota).",45.68756,-92.87745,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:39:58.0
59,"Camping near International Falls, MN (Minnesota) near Voyageurs National Park",48.48857,-93.23056,0,0,1,0,0,0,0,0,0,0,0,2003-08-25 15:06:10.0
60,"Pat Bayle State Forest in Minnesota at Eagle Mountain Trailhead, not sure if legal, near Grand Marais, MN.",47.86309,-90.54538,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:41:49.0
61,"Superior National Forest Campsite near Grand Marias and Boundary Waters Canoe Area MN (Minnesota)",47.88631,-90.23096,0,0,1,0,0,0,0,0,0,0,0,2003-05-30 05:42:26.0
62,"Itch-Kep-Pe City Park is the bank of the Yellowstone River located in a large grove of Cottonwood trees. Most sites have picnic tables and fire rings and there are bathroom facilities. The shade and the proximity to the river is what makes this free campground special. Many of the campsites can accommodate large RVs. Columbus is about 40 miles west of Billings on I-90.  (not sure if location is exact, but it is close)",45.6133,-109.266899,0,0,1,1,1,0,1,1,0,0,0,2003-08-25 15:07:05.0
65,"This area is part of the Davy Crockett National Forest, managed jointly with the State of Texas, as a Texas Wildlife Management Area.  

There are oodles of b'docking spots here.  You'll absolutely love it, unless you make the mistake of trying to camp during hunting season...

Level of confidence: extremely high.  See:

http://www.tpwd.state.tx.us/wma/find_a_wma/list/?id=25&activity=camping

02/28/2012 - UPDATE - We just passed through and found just about all of Davy Crockett closed due to storm damage from last April (2011). Because of this we found Angelina National Forest pay sites open for free.",31.22,-94.97,0,0,0,0,0,0,0,0,0,1,0,2012-02-28 10:43:20.0
66,"Osceola National Forest USFS - near Lake City, FL - tons of boondocking possibilities for vehicles of all sizes.  Completely flat, the area is riddled with roads, and some aren't on any maps.  Easy to find very private sites.  Heavily used by hunters in the winter.  Easy to get lost!  Be sure to use a map/GPS.  Fires are likely prohibited due to high fire danger.  Close to I-10 and I-75 junction in Florida.  This particular location was off of a unmarked unmapped 4wd road and is hardly a pulloff (but there wasn't any traffic either!)  Not a good site during high water.",30.24895,-82.46065,0,0,1,0,0,0,0,0,0,0,0,2006-05-30 20:50:17.0
71,"Crystal Hill, Kofa National Wildlife Preserve, AZ
Free area, 6 miles east of US95, south of Quartzsite. Watch for signs on highway. Good camping sites, no services.",33.59,-114.19,0,0,1,0,1,0,0,0,0,0,0,2005-06-09 15:05:43.0
74,"In front of the Ste-Anne-De-Beaupre Shrine, near the river",47.0222,-70.925,1500,500,1,0,0,0,0,0,0,0,0,2012-03-16 12:53:00.0
75,"Behind the Cap-De-La-Madeleine Shrine, near the river",46.3661,-72.4972,1000,300,1,0,1,0,0,0,0,0,0,2005-06-09 14:59:04.0
76,"A flat spot next to the road into the Painted Hills unit of the John Day Fossil Beds Nat'l Monument.  Pickup campers, small trailers won't have problems, but might not be too easy for big rigs.  Next to a small creek, and is 1 mile from main highway via paved road.  No facilities of any kind.

44 deg 36.763 min N
120 deg 12.656 min W",44.61272,-120.21093,0,0,1,0,1,0,0,0,0,1,0,2005-04-24 19:05:55.0
78,"On BLM land.  Oak forest and grassland.  Just a few miles from I-5 north of Red Bluff.  Exit at Jelly's Ferry.  Turn on Bend Road.  Follow signs to Payne's Creek Recreation Area.

Town of Bend is a general store and a few scattered ranches.


There are only a few locations in this parcel of BLM land open to camping.  Vehicles are not allowed off the roads.  This spot is called Perry Riffle and is a large turnaround at the end of a maintained gravel road.  A short trail leads to the Sacramento River.  Open fires not allowed during summer.  No toilets.  Must be self contained.

Another location nearby (< 1 mile) on road to Massacre Flat CG.  Gravel road to Massacre Flat changes to rough 4wd road after 1/4 mile.  You can self-contained camp at turnaround where gravel changes to 4wd.",40.295,-122.178,0,0,1,1,0,0,0,0,0,0,0,2005-05-02 15:38:13.0
87,"Zig Zag, Oregon. A large open space next to the Subway Rest.  The folks at the local market directed me there.  ""Saying that where everyone stops.""   On highway 26 from Portland that goes through Sandy, Government Camp on to Madras and central, eastern and southern Oregon. ",45.34397,-121.944432,200,100,1,0,0,0,0,0,0,0,0,2005-07-30 08:31:39.0
92,"Las Cienegas Natural Conservation Area(Empire Ranch) BLM Land  Free
Take I-10 East from Tucson and turn off at Exit 281 (Route 83 Sonoita-Patagonia Highway South). Travel south on Route 83 for about 19 miles and watch for the green and white milepost 40 sign along the right side of the road. Approximately 1/4 mile past milepost 40, turn left into Las Cienegas(Empire Ranch Road). The road is dirt and has some ""washboarding"" so don't go too fast. At about the 2.9 mile point there will be a fork in the road. Stay to the right. When the road ends in a ""T"", take a left. You will cross a concrete section of the road down in a wash. Just up the hill from the wash (about .2 mile), turn left. Just ahead of you (.1 mile) will be the end of an abandoned airstrip where the most level sites are found.

NOTE: edited 11/17/05 by Andrew Koransky, orig lat/lon was 31.47/-110.37, but this pointed into the middle of Fort Huachuaca!  My location may not be exact and is unverified, but should at least be closer based on directions above.",31.8,-110.65,50,999,1,0,1,0,0,0,0,0,0,2005-11-17 13:03:12.0
94,"Private property located along scenic backroad 33/119 in Stumptown, West(by God!)Virginia(2/10ths mile west of a little country store and Exxon that are located at Russett Road) Primitive camping along year-round creek with lots of shade, Skinny dippin' OK! Campfires OK, Safe Shootin' range! Or hike on up into the holler for privacy. BIKER friendly(welding and U.S. tools available)Bring your RV/Camper for huntin' season! BYOB! 24/7 Internet and phone access for emergency or important messages. I gotta trash bin but No dump so y'all clean up after yourselves!

304-354-6048 little-joe@usa.net

No fee! No signs! No check in! Follow directions, look for my bus and cabin. You can't miss it! If I'm 'round I'll show you where to go, If I ain't 'round just set up in the ""bottom"" across from the cabin! 99% of the time you'll be the only folks here. Safe place can be ""very quiet"" but ""LOUD"" is OK too, depending on the moon! Great fishin', huntin' & ridin' area. A couple of nearby taverns open 'till??? Great place for a private or non-commercial event! Contact me! LJ
",38.85603,-81.0,660,660,1,0,0,0,1,0,0,1,0,2006-01-15 04:41:41.0
95,"Alvord Desert

A huge desert dry lake about 6 miles by 12 miles. Awesome views. Hot spring nearby. Cold drinking water spring nearby. On BLM land. The road going down to the lakebed from the main road is a bit rough. You can use the driveway that runs by the only house you'll see, it's much smoother. ",42.51182,-118.53002,1000,1000,1,0,0,0,0,0,1,0,0,2006-01-16 07:06:39.0
97,"Very nice camping spot located in the Cimarron National Grasslands, KS.  Easily accessible any time of the year.  Camping allowed most anywhere throughout park.  This campsite is in a small basin, which shelters you somewhat from the winds.",37.15659,-101.79614,200,200,1,0,0,0,0,0,0,0,0,2006-04-03 09:13:01.0
99,"<p>We found this great roadside spot while vacationing.  It is on a little rise and has a nice view of the Sonoran Desert.  Unpaved, it is just a roadside pullout with a nice view.</p>

<p>There is easy off easy on pullthrough access.  Enough room for the largest rigs.  Slightly off camber.</p>

<p>Be aware you are near Mexico and may enounter illegals hitchiking along the road.  They are harmless and only want water or food.</p>",32.08909,-108.97292,0,0,1,0,0,0,0,0,0,0,0,2008-11-29 13:54:49.0
102,"Blackwater State Forest
Campsite - not very level, near a great walk-in river tent site. Off of a sand road near Blackwater River State Park, Milton, FL.",30.713983,-86.860046,0,0,0,0,1,0,0,0,0,0,0,2006-05-29 19:45:49.0
103,"Radium Springs, NM BLM access.  If heading North on 185, it's the green gate on your right just past Broad Canyon.  Outside of Las Cruces, NM.  Open the green gate here near river to access free camping beyond.  Some of the short sandy roads are too windy for RV's and possibly trailers.  Common BLM practice:  if gate was closed, keep it closed.  If it was open, keep it open.",32.534065,-106.990135,0,0,1,0,0,0,0,0,0,1,0,2006-05-29 20:05:30.0
104,"Near Capitol Reef, Fremont River BLM lands.  There are many spots, some big enough for RVs and trailers.  Some roads may be impassable when wet.  This is off of the road to Cathedral Valley in Capitol Reef.",38.275318,-111.08152,0,0,1,0,0,0,0,0,0,1,0,2006-05-29 20:25:27.0
105,"Near Chiricahua National Monument, Coronado National Forest off of FS42 Pinery Canyon Rd, no trailers or large vehicles.  Lots of gravel road.  This particular spot is a little pulloff, but there is likely more up the road.  Warning: Near an active area of the Mexican border.",31.9706,-109.338119,0,0,0,0,0,0,0,0,0,0,0,2006-05-29 20:28:30.0
106,"Near Arizona Snowbowl and Humphreys Peak.  Coconino National Forest FS 522.  This site is number 6 of 14 designated free sites.  Rough rd, not level.  Be sure to approach from the paved Arizona Snowbowl Rd (NF 516) or have 4wd high clearance and lots of patience on some very rough roads.",35.291901,-111.677963,10,20,1,0,1,0,0,0,0,0,0,2006-05-29 20:33:20.0
107,"Cooper/Hightower/Camping spot.  North Georgia Mountains near AT, Springer Mtn, Three Forks.  Huge camping area, loop rd pulloff.",34.660149,-84.117134,0,0,1,0,1,0,0,0,0,0,0,2006-05-29 20:37:02.0
108,"AT hiking nerby, Cooper/Hightower/Knob Pulloff, 4wd rd beyond to private knob camping spot",34.658867,-84.095734,0,0,1,0,1,0,0,0,0,0,0,2006-05-29 20:38:44.0
109,"AT hiking nearby, Cooper/Hightower rds, pulloff near a rock that drips during wet weather.
",34.656765,-84.089447,0,0,1,0,1,0,0,0,0,0,0,2006-05-29 20:39:56.0
110,"AT crosses right near this free campspot near Cooper/Hightower and Horse Gap.  There is a pulloff w/fire ring.
",34.656918,-84.107231,0,0,1,0,1,0,0,0,0,0,0,2006-05-29 20:41:04.0
111,"Coronado NF near Rucker Canyon. Lots of gravel rds in the area for boondocking.  There are some pay campgrounds up the road too.",31.7693,-109.340332,0,0,1,0,1,0,0,0,0,0,0,2006-05-29 20:44:17.0
112,"East of the south end of Death Valley National Park.  BLM (I think).  Furnace Creek Wash Rd.  The area isn't used very heavily, so I used/created a little pulloff on the rd, very little traffic.  Road is passable for RVs, but large vehicles might have a hard time finding a pulloff big enough without doing lots of destruction.
",35.950367,-116.368217,0,0,1,0,0,0,0,0,0,0,0,2006-05-29 20:47:21.0
113,"Outside Death Valley National Park on BLM lands near Scotty Castle.  Some areas on this road are passable to RVs and trailers.

",37.073868,-117.26223,0,0,1,0,0,0,0,0,0,0,0,2006-05-29 20:48:45.0
114,"Inside Death Valley National Park, on the Racetrack Road at Teakettle Jctn.  Nice large area for a vehicle or two.  Very few pulloffs available though on this road.  High clearance is required.  You'll need a stout vehicle to make this trip.  Heavy duty short trailers might be ok, but RVs would not.  This road has the WORST washboarding I have ever experienced.  I blew out my shocks on my Toyota Tundra.  I saw a new Volvo XC-90 with a broken tie rod end (tire fell off) on this road.  Bring plenty of water in case you are stranded.  Also, plenty free camping at Homestake Dry Camp at the end of the road.  Homestake has pit toilets.  The racetrack playa is pretty cool though and worth the trouble.  -Andrew",36.76025,-117.541931,0,0,1,0,0,0,1,0,0,0,0,2006-05-29 20:57:32.0
115,"Chatahoochee National Forest, off of FS 80, camp spot w tent pad. Near Camp Wasegah and Camp Merril I think.  Inbetween and North of a line between Dahlonegah and Amicalola State Park.
",34.610767,-84.096199,0,0,1,0,1,0,0,0,0,0,0,2006-05-29 21:03:52.0
116,"Free Gila NF Campground near Gila Cliff Dwellings and Gila Hot Springs, NM.  free camping above and on river, with pit toilets.  Some areas have very rough rd, but should be accessible to some shorter RVs/trailers if you stay close to pavement.",33.183998,-108.206016,0,0,1,0,1,0,1,0,0,1,0,2006-05-29 21:06:01.0
117,"Gila National Forest FS150 road.  Graded gravel road, but still rough in spots.  Tight turns means no RVs and trailers.  Tons of areas to camp along this road.  This spot had a huge fire reflector.",33.0737,-108.009148,0,0,1,0,0,0,0,0,0,0,0,2006-05-29 21:08:05.0
118,"near Joshua Tree National Park Cottonwood Springs.  BLM lands Within sight of interstate, but road noise not too bad.  RVs and trailers should be fine, but flat lands on the bajada (sloping desert floor) aren't easy to find.",33.674118,-115.805634,0,0,1,0,1,0,0,0,0,0,0,2006-05-29 21:10:32.0
119,"Costs  $10 for up to 7 days in the park. 

Lake Mead, LaMe Callville Camp, 4wd required, not sure if legal.  A few spots after rough 4wd sections of road.  There are 2 more areas just west of this area. Lower government wash and 8.0 Road. Both have tons of boondocking. 4WD recommended, but not entirely necessary.",36.180485,-114.73703,0,0,1,0,0,0,0,0,0,0,0,2006-05-29 21:11:48.0
120,"Outside Las Cruces, NM, Baylor Canyon area appears to be BLM land with plenty of spots for overnight camping.",32.342983,-106.612915,0,0,1,0,0,0,0,0,0,0,0,2006-05-29 21:12:56.0
121,"Los Padres NF Sierra Madre Campsite, nice, but small pulloff on NF32S13, overlooking highway 166 below.  Between Santa Maria, CA and Taft, CA.  If I recall, road is too rough/twisty with no turnarounds for RVs or trailers.
",35.101032,-120.083298,0,0,1,0,0,0,0,0,0,0,0,2006-05-29 21:17:42.0
122,"Near Montezuma's Castle National Monument, Camp Verde, AZ, Coconino National Forest, High clearance needed.
",34.542515,-111.750366,0,0,1,0,0,0,0,0,0,0,0,2006-05-29 21:35:05.0
123,"Mt Carmel, UT.  BLM Camp off US 89.  A number of spots available in the area on the copious amounts of BLM land in the area, some accessible to RVs.  Inbetween Zion, Grand Staircase-Escalante, and Coral Pink Sand Dunes.
",37.207149,-112.675499,0,0,1,0,0,0,0,0,0,0,0,2006-05-29 21:39:04.0
124,"Near Organ Pipe Cactus National Monument, Why, AZ.  Plenty of free camping just outside the park.  Registration is required if there is a camp host around.  This particular spot is the Wild Woman campsite, one of the nicest free spots I've been in, right under a beautiful old ironwood tree. Requires some clearance, but other sites in the area are easily accessible to RVs and trailers.  Good dirt roads, but could be dangerous during flood season.  - Andrew Koransky (adventure.koransky.com)",32.243915,-112.769653,0,0,1,0,1,1,0,0,0,0,1,2006-05-29 21:43:23.0
125,"Osceola National Forest USFS - near Lake City, FL - tons of boondocking possibilities for vehicles of all sizes. Completely flat, the area is riddled with roads, and some aren't on any maps. Easy to find very private sites. Heavily used by hunters in the winter. Easy to get lost! Be sure to use a map/GPS. Fires are likely prohibited due to high fire danger. Close to I-10 and I-75 junction in Florida.  When the water is up, sometimes finding camping can be more difficult though.  This site was better during high water.",30.249783,-82.454834,0,0,1,0,0,0,0,0,0,0,0,2006-05-30 20:49:48.0
126,"Near Carlsbad, NM and Carlsbad Caverns National Park, BLM, two camping spots near the Park Ranch Cave Complex, two designated free campsites with fire rings.  To access, look for dirt road heading East off US 62 near mile marker 10.  Upon heading over cattle grate, head North to a gate (closed last I checked).  Pass through gate (close behind you), then head East along the fence.  The road will leave the fence and eventually you'll see two fenced in areas where the caves are.  Look for the two campsites/fire rings nearby.  High clearance recommended.  There may be cows in the area.  Common BLM practice: if gate was closed, keep it closed. If it was open, keep it open.",32.109535,-104.406982,0,0,1,0,1,1,0,0,0,0,0,2006-05-30 20:58:11.0
127,"South end of Petrified Forest National Park.  The Crystal Forest Trading Post offers free camping if you don't use hookups.  Not sure about the toilet/bathroom situation.  More information is here:

http://www.freecampgrounds.com/detail.aspx?id=1539

From freecampgrounds.com website:

This very clean and tidy RV park is right at the intersection of Ariz. Route 180 and the south entrance to Petrified Forest National Park, 19 miles southeast of Holbrook. There are about a half-dozen level, gravel pads with 30-amp electric hookups, plus additional space for boondockers. The trading post is next door. Boondocking is free, but hookups cost $10 a night. This would be a pleasant place in the winter season, but would be very hot in the summer. There is no shade anywhere on the park. I saw no time limit posted, but I would assume a few days would be appropriate before taking advantage of the hospitality. A trading post across the street also offers a free stay with a purchase of $20 or more.",34.792751,-109.890663,0,0,1,1,0,0,0,0,0,0,0,2006-05-30 21:03:32.0
128,"TX 188, on the way from Alpine, TX to Big Bend National Park.  Near Elephant Mountain State Wildlife Management Area (which charges for camping).  Nice picnic spot area that allows overnight parking, but no ""structures"" are allowed (tents?).  Texas allows overnight stays (36 hours if memory serves).  Of course, many of their picnic/rest areas have no toilets and this one was no exception.  Accessible to most vehicle types.

Note: While camping there, I did have a cop pull into the picnic grounds, shine a bright light on my vehicle, and then, after seeing movement in the vehicle, leave... probably just making sure the vehicle wasn't abandoned.",30.044067,-103.571999,0,0,1,1,0,1,0,0,0,0,0,2006-05-30 21:13:10.0
